0	0
1	0
0	1
1	1
1	0
2	0
1	1
2	1
1	0
3	0
1	2
3	2
1	0
2	0
3	0
1	1
2	1
3	1
1	2
2	2
3	2
1	0
4	0
1	3
4	3
4	0
5	0
4	3
5	3
5	4
6	4
7	4
5	5
6	5
7	5
5	6
6	6
7	6
1	4
7	4
1	5
7	5
1	4
8	4
1	5
8	5
1	4
7	4
1	6
7	6
1	4
6	4
7	4
1	6
6	6
7	6
5	5
6	5
5	6
6	6
1	4
6	4
7	4
1	5
6	5
7	5
1	6
6	6
7	6
5	4
8	4
5	5
8	5
5	6
8	6
4	3
5	3
4	7
5	7
4	8
5	8
3	3
5	3
3	7
5	7
4	3
5	3
4	7
5	7
4	8
5	8
3	3
4	3
5	3
3	7
4	7
5	7
3	8
4	8
5	8
4	7
5	7
4	8
5	8
4	7
5	7
4	8
5	8
1	9
8	9
1	10
8	10
1	9
7	9
8	9
1	10
7	10
8	10
5	10
6	10
7	10
5	11
6	11
7	11
5	10
6	10
5	11
6	11
1	9
5	9
7	9
8	9
1	10
5	10
7	10
8	10
1	11
5	11
7	11
8	11
1	9
8	9
1	10
8	10
5	10
7	10
5	11
7	11
4	7
5	7
4	8
5	8
5	10
6	10
7	10
5	11
6	11
7	11
1	6
9	6
1	12
9	12
